Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Lower Exercise Room,05/13/2023 23:00,5/13/2023,7,19,11:00:00 PM,23,2,0.02,2,0.02,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/13/2023 23:30,5/13/2023,7,19,11:30:00 PM,23,2,0.02,2,0.02,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 6:00,5/14/2023,1,20,6:00:00 AM,6,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 6:30,5/14/2023,1,20,6:30:00 AM,6,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 7:00,5/14/2023,1,20,7:00:00 AM,7,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 7:30,5/14/2023,1,20,7:30:00 AM,7,2,0.02,3,0.04,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 8:00,5/14/2023,1,20,8:00:00 AM,8,12,0.14,24,0.28,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 8:30,5/14/2023,1,20,8:30:00 AM,8,19,0.22,26,0.31,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 9:00,5/14/2023,1,20,9:00:00 AM,9,13,0.15,20,0.24,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 9:30,5/14/2023,1,20,9:30:00 AM,9,16,0.19,21,0.25,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 10:00,5/14/2023,1,20,10:00:00 AM,10,22,0.26,26,0.31,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/14/2023 10:30,5/14/2023,1,20,10:30:00 AM,10,33,0.39,39,0.46,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
