Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Upper Exercise Room,07/26/2023 18:30,7/26/2023,4,30,6:30:00 PM,18,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 19:00,7/26/2023,4,30,7:00:00 PM,19,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 19:30,7/26/2023,4,30,7:30:00 PM,19,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 20:00,7/26/2023,4,30,8:00:00 PM,20,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 20:30,7/26/2023,4,30,8:30:00 PM,20,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 21:00,7/26/2023,4,30,9:00:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 21:30,7/26/2023,4,30,9:30:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 22:00,7/26/2023,4,30,10:00:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 22:30,7/26/2023,4,30,10:30:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 23:00,7/26/2023,4,30,11:00:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/26/2023 23:30,7/26/2023,4,30,11:30:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 6:00,7/27/2023,5,30,6:00:00 AM,6,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 6:30,7/27/2023,5,30,6:30:00 AM,6,2,0.02,5,0.06,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 7:00,7/27/2023,5,30,7:00:00 AM,7,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 7:30,7/27/2023,5,30,7:30:00 AM,7,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 8:00,7/27/2023,5,30,8:00:00 AM,8,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 8:30,7/27/2023,5,30,8:30:00 AM,8,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 9:00,7/27/2023,5,30,9:00:00 AM,9,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 9:30,7/27/2023,5,30,9:30:00 AM,9,2,0.02,4,0.04,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 10:00,7/27/2023,5,30,10:00:00 AM,10,2,0.02,6,0.07,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 10:30,7/27/2023,5,30,10:30:00 AM,10,2,0.02,4,0.04,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 11:00,7/27/2023,5,30,11:00:00 AM,11,2,0.02,4,0.04,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 11:30,7/27/2023,5,30,11:30:00 AM,11,3,0.03,6,0.07,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 12:00,7/27/2023,5,30,12:00:00 PM,12,2,0.02,6,0.07,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 12:30,7/27/2023,5,30,12:30:00 PM,12,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 13:00,7/27/2023,5,30,1:00:00 PM,13,2,0.02,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 13:30,7/27/2023,5,30,1:30:00 PM,13,2,0.02,4,0.04,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 14:00,7/27/2023,5,30,2:00:00 PM,14,3,0.03,6,0.07,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 14:30,7/27/2023,5,30,2:30:00 PM,14,3,0.03,5,0.06,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 15:00,7/27/2023,5,30,3:00:00 PM,15,2,0.02,5,0.06,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 15:30,7/27/2023,5,30,3:30:00 PM,15,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 16:00,7/27/2023,5,30,4:00:00 PM,16,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 16:30,7/27/2023,5,30,4:30:00 PM,16,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 17:00,7/27/2023,5,30,5:00:00 PM,17,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 17:30,7/27/2023,5,30,5:30:00 PM,17,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 18:00,7/27/2023,5,30,6:00:00 PM,18,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 18:30,7/27/2023,5,30,6:30:00 PM,18,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 19:00,7/27/2023,5,30,7:00:00 PM,19,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 19:30,7/27/2023,5,30,7:30:00 PM,19,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 20:00,7/27/2023,5,30,8:00:00 PM,20,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 20:30,7/27/2023,5,30,8:30:00 PM,20,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 21:00,7/27/2023,5,30,9:00:00 PM,21,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 21:30,7/27/2023,5,30,9:30:00 PM,21,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 22:00,7/27/2023,5,30,10:00:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 22:30,7/27/2023,5,30,10:30:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 23:00,7/27/2023,5,30,11:00:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/27/2023 23:30,7/27/2023,5,30,11:30:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 6:00,7/28/2023,6,30,6:00:00 AM,6,2,0.02,7,0.08,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 6:30,7/28/2023,6,30,6:30:00 AM,6,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 7:00,7/28/2023,6,30,7:00:00 AM,7,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 7:30,7/28/2023,6,30,7:30:00 AM,7,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 8:00,7/28/2023,6,30,8:00:00 AM,8,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 8:30,7/28/2023,6,30,8:30:00 AM,8,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 9:00,7/28/2023,6,30,9:00:00 AM,9,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 9:30,7/28/2023,6,30,9:30:00 AM,9,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 10:00,7/28/2023,6,30,10:00:00 AM,10,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 10:30,7/28/2023,6,30,10:30:00 AM,10,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 11:00,7/28/2023,6,30,11:00:00 AM,11,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 11:30,7/28/2023,6,30,11:30:00 AM,11,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 12:00,7/28/2023,6,30,12:00:00 PM,12,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 12:30,7/28/2023,6,30,12:30:00 PM,12,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 13:00,7/28/2023,6,30,1:00:00 PM,13,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 13:30,7/28/2023,6,30,1:30:00 PM,13,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 14:00,7/28/2023,6,30,2:00:00 PM,14,1,0.01,2,0.02,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 14:30,7/28/2023,6,30,2:30:00 PM,14,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 15:00,7/28/2023,6,30,3:00:00 PM,15,2,0.02,4,0.04,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 15:30,7/28/2023,6,30,3:30:00 PM,15,1,0.01,4,0.04,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 16:00,7/28/2023,6,30,4:00:00 PM,16,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 16:30,7/28/2023,6,30,4:30:00 PM,16,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 17:00,7/28/2023,6,30,5:00:00 PM,17,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 17:30,7/28/2023,6,30,5:30:00 PM,17,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 18:00,7/28/2023,6,30,6:00:00 PM,18,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 18:30,7/28/2023,6,30,6:30:00 PM,18,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 19:00,7/28/2023,6,30,7:00:00 PM,19,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 19:30,7/28/2023,6,30,7:30:00 PM,19,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 20:00,7/28/2023,6,30,8:00:00 PM,20,12,0.13,18,0.20,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 20:30,7/28/2023,6,30,8:30:00 PM,20,9,0.10,12,0.13,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 21:00,7/28/2023,6,30,9:00:00 PM,21,3,0.03,8,0.09,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 21:30,7/28/2023,6,30,9:30:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 22:00,7/28/2023,6,30,10:00:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 22:30,7/28/2023,6,30,10:30:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 23:00,7/28/2023,6,30,11:00:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/28/2023 23:30,7/28/2023,6,30,11:30:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 6:00,7/29/2023,7,30,6:00:00 AM,6,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 6:30,7/29/2023,7,30,6:30:00 AM,6,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 7:00,7/29/2023,7,30,7:00:00 AM,7,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 7:30,7/29/2023,7,30,7:30:00 AM,7,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 8:00,7/29/2023,7,30,8:00:00 AM,8,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 8:30,7/29/2023,7,30,8:30:00 AM,8,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 9:00,7/29/2023,7,30,9:00:00 AM,9,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 9:30,7/29/2023,7,30,9:30:00 AM,9,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 10:00,7/29/2023,7,30,10:00:00 AM,10,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 10:30,7/29/2023,7,30,10:30:00 AM,10,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 11:00,7/29/2023,7,30,11:00:00 AM,11,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 11:30,7/29/2023,7,30,11:30:00 AM,11,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 12:00,7/29/2023,7,30,12:00:00 PM,12,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 12:30,7/29/2023,7,30,12:30:00 PM,12,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 13:00,7/29/2023,7,30,1:00:00 PM,13,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 13:30,7/29/2023,7,30,1:30:00 PM,13,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 14:00,7/29/2023,7,30,2:00:00 PM,14,1,0.01,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 14:30,7/29/2023,7,30,2:30:00 PM,14,2,0.02,3,0.03,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 15:00,7/29/2023,7,30,3:00:00 PM,15,3,0.03,9,0.10,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 15:30,7/29/2023,7,30,3:30:00 PM,15,2,0.02,5,0.06,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 16:00,7/29/2023,7,30,4:00:00 PM,16,3,0.03,8,0.09,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 16:30,7/29/2023,7,30,4:30:00 PM,16,3,0.03,5,0.06,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 17:00,7/29/2023,7,30,5:00:00 PM,17,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 17:30,7/29/2023,7,30,5:30:00 PM,17,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 18:00,7/29/2023,7,30,6:00:00 PM,18,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 18:30,7/29/2023,7,30,6:30:00 PM,18,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 19:00,7/29/2023,7,30,7:00:00 PM,19,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 19:30,7/29/2023,7,30,7:30:00 PM,19,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 20:00,7/29/2023,7,30,8:00:00 PM,20,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 20:30,7/29/2023,7,30,8:30:00 PM,20,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 21:00,7/29/2023,7,30,9:00:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 21:30,7/29/2023,7,30,9:30:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 22:00,7/29/2023,7,30,10:00:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 22:30,7/29/2023,7,30,10:30:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 23:00,7/29/2023,7,30,11:00:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/29/2023 23:30,7/29/2023,7,30,11:30:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 6:00,7/30/2023,1,31,6:00:00 AM,6,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 6:30,7/30/2023,1,31,6:30:00 AM,6,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 7:00,7/30/2023,1,31,7:00:00 AM,7,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 7:30,7/30/2023,1,31,7:30:00 AM,7,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 8:00,7/30/2023,1,31,8:00:00 AM,8,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 8:30,7/30/2023,1,31,8:30:00 AM,8,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 9:00,7/30/2023,1,31,9:00:00 AM,9,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 9:30,7/30/2023,1,31,9:30:00 AM,9,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 10:00,7/30/2023,1,31,10:00:00 AM,10,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 10:30,7/30/2023,1,31,10:30:00 AM,10,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 11:00,7/30/2023,1,31,11:00:00 AM,11,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 11:30,7/30/2023,1,31,11:30:00 AM,11,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 12:00,7/30/2023,1,31,12:00:00 PM,12,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 12:30,7/30/2023,1,31,12:30:00 PM,12,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 13:00,7/30/2023,1,31,1:00:00 PM,13,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 13:30,7/30/2023,1,31,1:30:00 PM,13,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 14:00,7/30/2023,1,31,2:00:00 PM,14,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 14:30,7/30/2023,1,31,2:30:00 PM,14,1,0.01,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 15:00,7/30/2023,1,31,3:00:00 PM,15,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 15:30,7/30/2023,1,31,3:30:00 PM,15,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 16:00,7/30/2023,1,31,4:00:00 PM,16,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 16:30,7/30/2023,1,31,4:30:00 PM,16,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 17:00,7/30/2023,1,31,5:00:00 PM,17,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 17:30,7/30/2023,1,31,5:30:00 PM,17,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 18:00,7/30/2023,1,31,6:00:00 PM,18,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 18:30,7/30/2023,1,31,6:30:00 PM,18,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 19:00,7/30/2023,1,31,7:00:00 PM,19,0,0.00,1,0.01,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 19:30,7/30/2023,1,31,7:30:00 PM,19,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 20:00,7/30/2023,1,31,8:00:00 PM,20,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 20:30,7/30/2023,1,31,8:30:00 PM,20,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 21:00,7/30/2023,1,31,9:00:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 21:30,7/30/2023,1,31,9:30:00 PM,21,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 22:00,7/30/2023,1,31,10:00:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 22:30,7/30/2023,1,31,10:30:00 PM,22,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 23:00,7/30/2023,1,31,11:00:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
Upper Exercise Room,07/30/2023 23:30,7/30/2023,1,31,11:30:00 PM,23,0,0.00,0,0.00,90,Cal Poly  > Rec Center > 2nd Floor > Upper Exercise Room
