iter	MultiClass
0	1.006555236
1	0.9264873302
2	0.8568982136
3	0.7952186573
4	0.7401792367
5	0.6909043487
6	0.6464935957
7	0.6061896731
8	0.5694492067
9	0.5361160169
10	0.505735846
11	0.4774437826
12	0.4513686515
13	0.4273195684
14	0.4050187444
15	0.3843823403
16	0.3651958984
17	0.3472577298
18	0.3305219485
19	0.3149117693
20	0.3003542564
21	0.2867498097
22	0.2741264072
23	0.2621607019
24	0.2510270366
25	0.2406354521
26	0.2309699444
27	0.2217640722
28	0.2130327062
29	0.2048332973
30	0.1970979117
31	0.1899633978
32	0.183189306
33	0.1768835022
34	0.1710283313
35	0.1652519847
36	0.15980359
37	0.1546885378
38	0.1500228781
39	0.145631538
40	0.1413297321
41	0.1372587257
42	0.1334193683
43	0.1299313535
44	0.1266426139
45	0.1235678109
46	0.1205478824
47	0.117628543
48	0.1149204086
49	0.1124563301
50	0.1100407765
51	0.1076524298
52	0.1055419691
53	0.1034747847
54	0.101518409
55	0.09960349521
56	0.09785432555
57	0.09616875568
58	0.09452564868
59	0.09290756232
60	0.09152499261
61	0.09017939575
62	0.0889079373
63	0.08772435198
64	0.08655504066
65	0.08543575914
66	0.0843096571
67	0.08331330387
68	0.08231832652
69	0.08145479645
70	0.08058872002
71	0.0798318652
72	0.07904387792
73	0.07832225748
74	0.07757010693
75	0.07694284697
76	0.07630406864
77	0.07573723694
78	0.07514141399
79	0.07459418761
80	0.07406619813
81	0.07355634795
82	0.07308408629
83	0.07266446744
84	0.07218117509
85	0.07174355375
86	0.0713770559
87	0.0709978682
88	0.0707077688
89	0.07040528534
90	0.07005895021
91	0.0697361723
92	0.06949941971
93	0.0692355878
94	0.06889305973
95	0.06864866533
96	0.06840355962
97	0.06814886115
98	0.0679217553
99	0.06767339284
100	0.06747196104
101	0.06729103333
102	0.067117986
103	0.06695585771
104	0.06678982311
105	0.06661511178
106	0.06647618107
107	0.06629586321
108	0.06615779901
109	0.06603689558
110	0.06595555287
111	0.06585476145
